Event Time,Event Type,Smart ID,Exact ID,Agent Type,Account Email,Input IP,True IP,Unknown Session,Reasons,Input IP Organization Type,Input IP Organization,Request Result,Policy Score,Review Status,Account Email Domain,Online Top Level Domain,LexID Digital,LexID Digital Trust Score Rating,True IP Geo,Session ID,Account First Name,Account Last Name,Agent Model,Associated Event.DateTime,Associated Event.Request Id,Agent OS
2021-08-31 23:50:34.315 UTC,account_creation,1192773889a448b7bab668daa2d47567,1192773889a448b7bab668daa2d47567,browser_computer,3488189601f55e079c1a0e0ee09738f0,,198.166.123.110,,"{""New Device less than 1 Week (-3)"",""New Email less than 1 Month (-2)"",""Browser Anomaly"",""DNS Resolver over 500 miles from True IP (-10)"",""IF not True IP""}",,,success,-15,pass,hotmail.com,,064f050e0be649e2bc6732c412e65223,very_high,CA,ecuikoek13vayobsyadz5gbn_1,7d63544d138234065b6266bd302b7880,f3db8b664e464ed1f9425a08eda66000,,,,
2021-08-31 23:27:36.812 UTC,account_creation,0111d121a13140aba2d089ccc450c6c3,41bd3e07d94d44418a4c667b6d882425,browser_computer,93084265991a9fe9beea5c25d080aaf5,,70.70.61.223,,"{""IF not True IP""}",,,success,0,pass,hotmail.com,,9a485f8a685a4ce4b07e7d6cd3618bf9,very_high,CA,lzynuub2au5wtrks0st2ow02_1,2629cdae8fa496a4b012d29f4a4d0687,1dbd49c9815d8fb59b7ddc218476777f,,,,
2021-08-31 20:14:30.381 UTC,account_creation,a5f61f1ac2494e0eb69b1fdf3ebc3b19,d8d72f10ad984fc3b077061db0bb829a,browser_computer,e56d0ac5ea19ba54baba4af27a3a8498,,,,"{""AnonymousProxy (-5)"",""IF not True IP""}",,,success,-5,pass,hotmail.com,,d882e0882e6645ca87ef6f478f098519,high,,v2ujrdsvvxpazpfjrmulxhv3_1,fc06b2c1dae016f339aa614dbfcbcca9,b6c0f0abf5bd6662e18748701bcb1703,,,,
2021-08-31 04:16:17.906 UTC,account_creation,,,,92abf70af63a23cbf5d4bd59827d2f01,,,true,"{""Profiling Blocked (-10)"",""Profiling Incomplete"",""IF not True IP""}",,,success,-10,pass,shaw.ca,,d48e72573ac54582bee095d5644f6b31,very_high,,xiix1xaqnbkpynsxqs3diouw_1,d245ca207a41cc916c70ca61031f4cdd,7303af9c2b3fb1925d9b6795cf69074a,,,,
2021-08-31 02:46:11.391 UTC,account_creation,d0bb678c115c4a3fb31617f471cc6219,d0bb678c115c4a3fb31617f471cc6219,browser_mobile,2d1a7dc4fef985b222d4e6596f9e119a,,75.155.155.229,,"{""New Device less than 1 Week (-3)"",""IF not True IP""}",,,success,-3,pass,gmail.com,,b51254c4e166431085ffc58229c8fc62,very_high,CA,myaesspzo3oyq445l1wxunuy_1,377645a9a76e6e3b8ad3c801d34207b8,ca2cef76b9ffa11d4243ae10c88852d8,,,,
2021-08-31 02:22:15.007 UTC,account_creation,61e2f93573dd400fabd29e16080d0745,61e2f93573dd400fabd29e16080d0745,browser_computer,4a68a48af520c9d2295a318b64b93c2b,,209.52.88.186,,"{""New Device less than 1 Week (-3)"",""IF not True IP""}",,,success,-3,pass,gmail.com,,49e024211c55413eb1d8973fadd660d1,very_high,CA,svvhz5kzukz054gxq0hqrf0y_1,f875a26f9ab4a43804cc5171b4949543,13b9bb9634d4a30afea99183f73e777f,,,,
2021-08-30 23:15:06.576 UTC,account_creation,1edaedeccdc94d2aa59de05d4fc5d98a,1edaedeccdc94d2aa59de05d4fc5d98a,browser_mobile,166f854882f4be9beec4fc3921e3e187,,70.67.2.199,,"{""New Device less than 1 Week (-3)"",""IF not True IP""}",,,success,-3,pass,gmail.com,,fa72703dcf2f4bb98ed9cdb5e98ec348,very_high,CA,izaagnx44ezcdd1vrhjnbedp_1,79133dc6ee70190acde231281478cb83,0fb80891940cb1f2731de5f0807744da,,,,
2021-08-30 22:00:43.958 UTC,account_creation,98966dc142ce4e8b992bf97dbae4ae0c,98966dc142ce4e8b992bf97dbae4ae0c,browser_mobile,e504a9aa9cb9bfde14292924f83a7881,,173.181.113.142,,"{""New Device less than 1 Week (-3)"",""IF not True IP""}",,,success,-3,pass,gmail.com,,74775f44ede14247a97e456886f7a34d,very_high,CA,o3y0w50ql4smz42ibjkcy3sw_1,1cbdc77647d2de04f4fe84c6dd79f821,fb6ef58fb8ad6702767c26188e683a1d,,,,
2021-08-30 21:13:05.778 UTC,account_creation,58a1bcc5b1f04456a1e4fc6cf126ee5c,58a1bcc5b1f04456a1e4fc6cf126ee5c,browser_computer,fb999f069649e78f5a99b03e89d288b5,,24.68.34.16,,"{""2 or more account_login per Email/ month"",""New Device less than 1 Week (-3)"",""IF not True IP""}",,,success,-8,pass,protonmail.com,,a7c40bb101834e5888ce08f13b7cfc81,very_high,CA,0picfn2c1lqgapmy04i3snf3_1,9473e7209e01786eb7e1bc86d667f0f8,d981236412e4d79c6c73e835557b1079,,,,
2021-08-30 20:20:57.877 UTC,account_creation,58a1bcc5b1f04456a1e4fc6cf126ee5c,58a1bcc5b1f04456a1e4fc6cf126ee5c,browser_computer,fb999f069649e78f5a99b03e89d288b5,,24.68.34.16,,"{""New Device less than 1 Week (-3)"",""IF not True IP""}",,,success,-3,pass,protonmail.com,,a7c40bb101834e5888ce08f13b7cfc81,very_high,CA,qpte0fe2nsllnwnssurrqrea_1,9473e7209e01786eb7e1bc86d667f0f8,d981236412e4d79c6c73e835557b1079,,,,
